text,label,Disease
"vomiting,headache,altered sensorium",718,Paralysis (Brain Hemorrhage)
Signs and symptom of a hip fracture include: Inability to get up from a fall or to walk Severe pain in the hip or groin Inability to put weight on the leg on the side of the injured hip Bruising and swelling in and around the hip area Shorter leg on the side of the injured hip Outward turning of the leg on the side of the injured hip,479,Hip Fracture
"I have a rash all over my body, and it's really itchy. I also have some spot where the color of my skin is different, and some lump and knot-like pimples.",394,Fungal Infection
I have a lot of pain in my chest and I feel really sick to my stomach. My chest ha been hurting a lot lately and I've been really shaky and anxious.,308,Drug Reaction
I've been feeling really tired and sick to my stomach. I've also been losing weight and have a fever. My urine is really dark and my skin is yellow. I've also been having stomach pains.,541,Jaundice
"I've been having headache and migraines, and I can't sleep. I've been shaking and shivering all over. Sometimes I feel lightheaded.",308,Drug Reaction
"skin rash,blackhead,scurring",7,Acne
"Folliculitis Open pop-up dialog box Close Folliculitis Folliculitis Superficial folliculitis can look like a pus-filled bump. Folliculitis Open pop-up dialog box Folliculitis Open pop-up dialog box Open pop-up dialog box Close Folliculitis Folliculitis Superficial folliculitis can look like a pus-filled bump. Close Folliculitis Folliculitis Superficial folliculitis can look like a pus-filled bump. Close Folliculitis Folliculitis Superficial folliculitis can look like a pus-filled bump. Close Close Close Folliculitis Folliculitis Superficial folliculitis can look like a pus-filled bump. Folliculitis Superficial folliculitis can look like a pus-filled bump. Superficial folliculitis can look like a pus-filled bump. Hot tub folliculitis Open pop-up dialog box Close Hot tub folliculitis Hot tub folliculitis Hot tub folliculitis cause round, itchy bump that may later develop into small pus-filled blisters. The rash is likely to be worse in area where your swimsuit hold water against the skin. Hot tub folliculitis Open pop-up dialog box Hot tub folliculitis Open pop-up dialog box Open pop-up dialog box Close Hot tub folliculitis Hot tub folliculitis Hot tub folliculitis cause round, itchy bump that may later develop into small pus-filled blisters. The rash is likely to be worse in area where your swimsuit hold water against the skin. Close Hot tub folliculitis Hot tub folliculitis Hot tub folliculitis cause round, itchy bump that may later develop into small pus-filled blisters. The rash is likely to be worse in area where your swimsuit hold water against the skin. Close Hot tub folliculitis Hot tub folliculitis Hot tub folliculitis cause round, itchy bump that may later develop into small pus-filled blisters. The rash is likely to be worse in area where your swimsuit hold water against the skin. Close Close Close Hot tub folliculitis Hot tub folliculitis Hot tub folliculitis cause round, itchy bump that may later develop into small pus-filled blisters. The rash is likely to be worse in area where your swimsuit hold water against the skin. Hot tub folliculitis Hot tub folliculitis cause round, itchy bump that may later develop into small pus-filled blisters. The rash is likely to be worse in area where your swimsuit hold water against the skin. Hot tub folliculitis cause round, itchy bump that may later develop into small pus-filled blisters. The rash is likely to be worse in area where your swimsuit hold water against the skin. Pseudofolliculitis barbae Open pop-up dialog box Close Pseudofolliculitis barbae Pseudofolliculitis barbae Razor bump affect people with curly beards. The condition is also called pseudofolliculitis barbae. It develops when shaved hair curve back into the skin, leading to inflammation. Pseudofolliculitis barbae Open pop-up dialog box Pseudofolliculitis barbae Open pop-up dialog box Open pop-up dialog box Close Pseudofolliculitis barbae Pseudofolliculitis barbae Razor bump affect people with curly beards. The condition is also called pseudofolliculitis barbae. It develops when shaved hair curve back into the skin, leading to inflammation. Close Pseudofolliculitis barbae Pseudofolliculitis barbae Razor bump affect people with curly beards. The condition is also called pseudofolliculitis barbae. It develops when shaved hair curve back into the skin, leading to inflammation. Close Pseudofolliculitis barbae Pseudofolliculitis barbae Razor bump affect people with curly beards. The condition is also called pseudofolliculitis barbae. It develops when shaved hair curve back into the skin, leading to inflammation. Close Close Close Pseudofolliculitis barbae Pseudofolliculitis barbae Razor bump affect people with curly beards. The condition is also called pseudofolliculitis barbae. It develops when shaved hair curve back into the skin, leading to inflammation. Pseudofolliculitis barbae Razor bump affect people with curly beards. The condition is also called pseudofolliculitis barbae. It develops when shaved hair curve back into the skin, leading to inflammation. Razor bump affect people with curly beards. The condition is also called pseudofolliculitis barbae. It develops when shaved hair curve back into the skin, leading to inflammation. Carbuncle Open pop-up dialog box Close Carbuncle Carbuncle A carbuncle is a cluster of boil — painful, pus-filled bump — that form a connected area of infection under the skin. Carbuncle Open pop-up dialog box Carbuncle Open pop-up dialog box Open pop-up dialog box Close Carbuncle Carbuncle A carbuncle is a cluster of boil — painful, pus-filled bump — that form a connected area of infection under the skin. Close Carbuncle Carbuncle A carbuncle is a cluster of boil — painful, pus-filled bump — that form a connected area of infection under the skin. Close Carbuncle Carbuncle A carbuncle is a cluster of boil — painful, pus-filled bump — that form a connected area of infection under the skin. Close Close Close Carbuncle Carbuncle A carbuncle is a cluster of boil — painful, pus-filled bump — that form a connected area of infection under the skin. Carbuncle A carbuncle is a cluster of boil — painful, pus-filled bump — that form a connected area of infection under the skin. A carbuncle is a cluster of boil — painful, pus-filled bump — that form a connected area of infection under the skin. Folliculitis sign and symptom include: Clusters of small bump or pimple around hair follicle Pus-filled blister that break open and crust over Itchy, burning skin Painful, tender skin An inflamed bump",384,Folliculitis
"joint pain,neck pain,hip joint pain,swelling joints,painful walking",700,Osteoarthristis
"itching,skin rash,burning micturition,spotting  urination",308,Drug Reaction
"weight gain,cold hands and feets,mood swings,lethargy,dizziness,puffy face and eyes,enlarged thyroid,brittle nails,swollen extremeties,depression,irritability,abnormal menstruation",511,Hypothyroidism
"I've had a fever for a few days, and it's starting to worry me. I also have a headache, and I feel weak and lethargic.",193,Chicken Pox
I have a rash that sometimes cause my skin to peel off. I'm more susceptible to illness a a result. I also get shaky and my hand shake sometimes.,308,Drug Reaction
"stomach pain,acidity,ulcers on tongue,vomiting,cough,chest pain",412,Gerd
"constipation,pain during bowel movements,pain in anal region,bloody stool,irritation in anus",297,Dimorphic Hemmorhoids(Piles)
"Retinal detachment itself is painless. But warning sign almost always appear before it occurs or ha advanced, such as: The sudden appearance of many floater — tiny speck that seem to drift through your field of vision Flashes of light in one or both eye (photopsia) Blurred vision Gradually reduced side (peripheral) vision A curtain-like shadow over your field of vision",850,Retinal Detachment
"chill,fatigue,weight loss,cough,high fever,breathlessness,sweating,loss of appetite,mild fever,yellowing of eyes,swelled lymph nodes,malaise,phlegm,chest pain,blood in sputum",1019,Tuberculosis
"burning micturition,bladder discomfort,continuous feel of urine",1035,Urinary Tract Infection
"Age spot on the hand Open pop-up dialog box Close Age spot on the hand Age spot on the hand Age spot may grow in size and group together, giving the skin a speckled or mottled appearance. They're very common in area that get repeated sun exposure, such a on the back of the hand. Age spot on the hand Open pop-up dialog box Age spot on the hand Open pop-up dialog box Open pop-up dialog box Close Age spot on the hand Age spot on the hand Age spot may grow in size and group together, giving the skin a speckled or mottled appearance. They're very common in area that get repeated sun exposure, such a on the back of the hand. Close Age spot on the hand Age spot on the hand Age spot may grow in size and group together, giving the skin a speckled or mottled appearance. They're very common in area that get repeated sun exposure, such a on the back of the hand. Close Age spot on the hand Age spot on the hand Age spot may grow in size and group together, giving the skin a speckled or mottled appearance. They're very common in area that get repeated sun exposure, such a on the back of the hand. Close Close Close Age spot on the hand Age spot on the hand Age spot may grow in size and group together, giving the skin a speckled or mottled appearance. They're very common in area that get repeated sun exposure, such a on the back of the hand. Age spot on the hand Age spot may grow in size and group together, giving the skin a speckled or mottled appearance. They're very common in area that get repeated sun exposure, such a on the back of the hand. Age spot may grow in size and group together, giving the skin a speckled or mottled appearance. They're very common in area that get repeated sun exposure, such a on the back of the hand. Age spot may affect people of all skin types, but they're more common in adult with light skin. Unlike freckles, which are common in child and fade with no sun exposure, age spot don't fade. Age spots: Are flat, oval area of increased pigmentation Are usually tan to dark brown Occur on skin that ha had the most sun exposure over the years, such a the back of hands, top of feet, face, shoulder and upper back Range from freckle size to about 1/2 inch (13 millimeters) across Can group together, making them more noticeable",25,Age Spots
"vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,fluid overload",33,Alcoholic Hepatitis
"vomiting,fatigue,anxiety,sweating,headache,nausea,blurred and distorted vision,excessive hunger,drying and tingling lips,slurred speech,irritability,palpitation",504,Hypoglycemia
"vomiting,headache,weakness of one body side,altered sensorium",718,Paralysis (Brain Hemorrhage)
"joint pain,neck pain,knee pain,hip joint pain,swelling joints,painful walking",700,Osteoarthristis
"fatigue,cough,high fever,breathlessness,mucoid sputum",149,Bronchial Asthma
"itching,vomiting,fatigue,weight loss,high fever,yellowish skin,dark urine,abdominal pain",541,Jaundice
"fatigue,weight gain,cold hands and feets,mood swings,lethargy,dizziness,puffy face and eyes,enlarged thyroid,brittle nails,swollen extremeties,depression,irritability,abnormal menstruation",511,Hypothyroidism
"vomiting,breathlessness,sweating,chest pain",447,Heart Attack
"joint pain,vomiting,fatigue,high fever,yellowish skin,dark urine,nausea,loss of appetite,abdominal pain,yellowing of eyes,acute liver failure,coma,stomach bleeding",468,Hepatitis E
"itching,vomiting,fatigue,weight loss,high fever,yellowish skin,dark urine,abdominal pain",541,Jaundice
"Symptoms vary depending on what type of sexual dysfunction you're experiencing: Low sexual desire. This most common of female sexual dysfunction involves a lack of sexual interest and willingness to be sexual. Sexual arousal disorder. Your desire for sex might be intact, but you have difficulty with arousal or are unable to become aroused or maintain arousal during sexual activity. Orgasmic disorder. You have persistent or recurrent difficulty in achieving orgasm after sufficient sexual arousal and ongoing stimulation. Sexual pain disorder. You have pain associated with sexual stimulation or vaginal contact.",373,Female Sexual Dysfunction
"continuous sneezing,chill,fatigue,cough,high fever,headache,swelled lymph nodes,malaise,phlegm,throat irritation,redness of eyes,sinus pressure,runny nose,congestion,chest pain,loss of smell,muscle pain",234,Common Cold
"cough,high fever,breathlessness,family history,mucoid sputum",149,Bronchial Asthma
"acidity,indigestion,headache,blurred and distorted vision,excessive hunger,stiff neck,depression,irritability,visual disturbances",630,Migraine
"I've been having back pain, a persistent cough, and numbness in my arm and legs. I've also had trouble staying balanced and experiencing dizziness. My neck hurts, too.",186,Cervical Spondylosis
"continuous sneezing,shivering,chill,watering from eyes",35,Allergy
"joint pain,neck pain,knee pain,hip joint pain,swelling joints,painful walking",700,Osteoarthristis
"skin rash,high fever,blister,red sore around nose,yellow crust ooze",515,Impetigo
"joint pain,fatigue,yellowish skin,dark urine,nausea,loss of appetite,abdominal pain,yellowing of eyes",467,Hepatitis D
"vomiting,sunken eyes,dehydration",402,Gastroenteritis
"chill,vomiting,fatigue,high fever,headache,nausea,constipation,abdominal pain,diarrhoea,toxic look (typhos),belly pain",1026,Typhoid
"itching,skin rash,fatigue,lethargy,high fever,loss of appetite,mild fever,swelled lymph nodes,malaise,red spots over body",193,Chicken Pox
"joint pain,vomiting,yellowish skin,dark urine,nausea,loss of appetite,abdominal pain,diarrhoea,mild fever,yellowing of eyes,muscle pain",464,Hepatitis A
"itching,skin rash,fatigue,lethargy,high fever,headache,loss of appetite,mild fever,swelled lymph nodes,malaise,red spots over body",193,Chicken Pox
"Molluscum contagiosum sign and symptom include: Raised, round, skin-colored bump Small bump — typically under about 1/4 inch (smaller than 6 millimeters) in diameter Bumps with a small dent or dot at the top near the center Itchy, pink bump Bumps on the face, trunk, arm or leg of child Bumps on the genitals, lower abdomen or inner thigh of adult if the infection wa sexually transmitted",644,Molluscum Contagiosum
"muscle weakness,stiff neck,swelling joints,movement stiffness,painful walking",72,Arthritis
"The itchy blister rash caused by chickenpox infection appears 10 to 21 day after exposure to the virus and usually last about five to 10 days. Other sign and symptoms, which may appear one to two day before the rash, include: Fever Loss of appetite Headache Tiredness and a general feeling of being unwell (malaise) Once the chickenpox rash appears, it go through three phases: Raised pink or red bump (papules), which break out over several day Small fluid-filled blister (vesicles), which form in about one day and then break and leak Crusts and scabs, which cover the broken blister and take several more day to heal New bump continue to appear for several days, so you may have all three stage of the rash — bumps, blister and scabbed lesion — at the same time. You can spread the virus to other people for up to 48 hour before the rash appears, and the virus remains contagious until all broken blister have crusted over. The disease is generally mild in healthy children. In severe cases, the rash can cover the entire body, and lesion may form in the throat, eyes, and mucous membrane of the urethra, anus and vagina.",194,Chickenpox
"joint pain,vomiting,fatigue,yellowish skin,dark urine,nausea,loss of appetite,abdominal pain,yellowing of eyes",467,Hepatitis D
"muscle wasting,patches in throat,high fever,extra marital contacts",27,Aids
"vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption,fluid overload",33,Alcoholic Hepatitis
"vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption,fluid overload",33,Alcoholic Hepatitis
"itching,skin rash,fatigue,lethargy,high fever,headache,loss of appetite,swelled lymph nodes,malaise,red spots over body",193,Chicken Pox
"itching,fatigue,lethargy,yellowish skin,dark urine,abdominal pain,yellow urine,yellowing of eyes,malaise,receiving blood transfusion,receiving unsterile injections",465,Hepatitis B
"joint pain,vomiting,fatigue,high fever,yellowish skin,dark urine,loss of appetite,abdominal pain,yellowing of eyes,acute liver failure,coma,stomach bleeding",468,Hepatitis E
"burning micturition,bladder discomfort,foul smell of urine,continuous feel of urine",1035,Urinary Tract Infection
"chill,vomiting,fatigue,weight loss,cough,high fever,breathlessness,sweating,loss of appetite,mild fever,yellowing of eyes,swelled lymph nodes,malaise,phlegm,chest pain,blood in sputum",1019,Tuberculosis
"back pain,weakness in limbs,neck pain,dizziness,loss of balance",186,Cervical Spondylosis
"constipation,pain during bowel movements,pain in anal region,bloody stool,irritation in anus",297,Dimorphic Hemmorhoids(Piles)
"vomiting,yellowish skin,abdominal pain,distention of abdomen,history of alcohol consumption,fluid overload",33,Alcoholic Hepatitis
"fatigue,weight loss,restlessness,sweating,diarrhoea,fast heart rate,excessive hunger,muscle weakness,irritability,abnormal menstruation",502,Hyperthyroidism
"joint pain,vomiting,fatigue,yellowish skin,nausea,loss of appetite,abdominal pain,yellowing of eyes",467,Hepatitis D
"vomiting,fatigue,anxiety,sweating,headache,nausea,blurred and distorted vision,excessive hunger,slurred speech,irritability,palpitation",504,Hypoglycemia
"headache,weakness of one body side,altered sensorium",718,Paralysis (Brain Hemorrhage)
I've been vomiting for the past few day and I have stomach cramps. I feel dizzy and weak. I also have a pain behind my eyes.,275,Dengue
"chill,vomiting,fatigue,high fever,headache,nausea,constipation,abdominal pain,diarrhoea,toxic look (typhos),belly pain",1026,Typhoid
"fatigue,weight loss,restlessness,lethargy,irregular sugar level,blurred and distorted vision,obesity,excessive hunger,increased appetite,polyuria",285,Diabetes 
"joint pain,vomiting,fatigue,yellowish skin,dark urine,nausea,loss of appetite,yellowing of eyes",467,Hepatitis D
"General sign and symptom of the early stage of acute myelogenous leukemia may mimic those of the flu or other common diseases. Signs and symptom of acute myelogenous leukemia include: Fever Bone pain Lethargy and fatigue Shortness of breath Pale skin Frequent infection Easy bruising Unusual bleeding, such a frequent nosebleed and bleeding from the gum",15,Acute Myelogenous Leukemia
"itching,fatigue,lethargy,yellowish skin,dark urine,loss of appetite,abdominal pain,yellow urine,yellowing of eyes,malaise,receiving blood transfusion,receiving unsterile injections",465,Hepatitis B
"continuous sneezing,chill,fatigue,cough,high fever,headache,swelled lymph nodes,malaise,phlegm,throat irritation,redness of eyes,sinus pressure,runny nose,congestion,chest pain,loss of smell,muscle pain",234,Common Cold
"itching,skin rash,nodal skin eruptions,dischromic  patches",394,Fungal Infection
"fatigue,mood swings,weight loss,restlessness,diarrhoea,fast heart rate,excessive hunger,muscle weakness,irritability,abnormal menstruation",502,Hyperthyroidism
"joint pain,neck pain,knee pain,hip joint pain,painful walking",700,Osteoarthristis
"fatigue,mood swings,restlessness,sweating,diarrhoea,fast heart rate,excessive hunger,muscle weakness,irritability,abnormal menstruation",502,Hyperthyroidism
"skin rash,pus filled pimples,blackhead,scurring",7,Acne
"itching,skin rash,fatigue,lethargy,headache,loss of appetite,mild fever,swelled lymph nodes,malaise,red spots over body",193,Chicken Pox
"skin rash,chill,joint pain,vomiting,fatigue,high fever,headache,nausea,loss of appetite,pain behind the eyes,back pain,malaise,muscle pain,red spots over body",275,Dengue
"fatigue,cough,high fever,breathlessness,family history,mucoid sputum",149,Bronchial Asthma
"skin rash,joint pain,skin peeling,silver like dusting,small dents in nails,inflammatory nails",822,Psoriasis
"fatigue,cramp,bruising,obesity,swollen legs,swollen blood vessels,prominent veins on calf",1047,Varicose Veins
"continuous sneezing,chill,fatigue,cough,high fever,headache,swelled lymph nodes,phlegm,throat irritation,redness of eyes,sinus pressure,runny nose,congestion,chest pain,loss of smell,muscle pain",234,Common Cold
"itching,skin rash,lethargy,high fever,headache,loss of appetite,mild fever,swelled lymph nodes,malaise,red spots over body",193,Chicken Pox
I have noticed that my skin ha been dry and itchy. There are some red patch on my skin that are covered in a silver like dusting.,822,Psoriasis
"skin rash,high fever,blister,red sore around nose,yellow crust ooze",515,Impetigo
"skin rash,chill,joint pain,vomiting,fatigue,high fever,headache,nausea,loss of appetite,pain behind the eyes,back pain,malaise,red spots over body",275,Dengue
"back pain,weakness in limbs,dizziness,loss of balance",186,Cervical Spondylosis
"chill,fatigue,cough,high fever,headache,swelled lymph nodes,malaise,phlegm,throat irritation,redness of eyes,sinus pressure,runny nose,congestion,chest pain,loss of smell,muscle pain",234,Common Cold
"stomach pain,acidity,ulcers on tongue,vomiting,cough,chest pain",412,Gerd
"vomiting,fatigue,anxiety,sweating,headache,nausea,blurred and distorted vision,excessive hunger,drying and tingling lips,slurred speech,irritability,palpitation",504,Hypoglycemia
"I have heartburn and indigestion. I regularly throw up everything I eat, and swallowing is difficult for me since food get stuck in my throat. I'm experiencing pain in my upper abdomen.",403,Gastroesophageal Reflux Disease
I have a severe headache that feel like pressure in my head. I also have a mild fever and small red spot on my back.,275,Dengue
"vomiting,fatigue,sweating,headache,nausea,blurred and distorted vision,excessive hunger,drying and tingling lips,slurred speech,irritability,palpitation",504,Hypoglycemia
"itching,vomiting,fatigue,weight loss,high fever,yellowish skin,dark urine",541,Jaundice
"Signs and symptom of encopresis may include: Leakage of stool or liquid stool on underwear, which can be mistaken for diarrhea Constipation with dry, hard stool Passage of large stool that clog or almost clog the toilet Avoidance of bowel movement Long period of time between bowel movement Lack of appetite Abdominal pain Problems with daytime wetting or bedwetting (enuresis) Repeated bladder infections, typically in girl",338,Encopresis
"I have been having a lot of itching all over my body, and I have noticed some red, scaly patch on my skin. I also have some bump that look like small nodules.",394,Fungal Infection
"skin rash,high fever,blister,red sore around nose,yellow crust ooze",515,Impetigo
"fatigue,cough,high fever,breathlessness,sweating,malaise,phlegm,chest pain,fast heart rate,rusty sputum",766,Pneumonia
"itching,vomiting,fatigue,weight loss,high fever,yellowish skin,dark urine,abdominal pain",541,Jaundice
"burning micturition,bladder discomfort,foul smell of urine",1035,Urinary Tract Infection
"chill,fatigue,high fever,headache,nausea,constipation,abdominal pain,diarrhoea,toxic look (typhos),belly pain",1026,Typhoid
"vomiting,headache,weakness of one body side,altered sensorium",718,Paralysis (Brain Hemorrhage)
I have a chronic dry cough. I have palpitation and my infection don't seem to be getting better. I also have a sore throat that come and goes.,284,Diabetes
"muscle weakness,stiff neck,swelling joints,movement stiffness,painful walking",72,Arthritis
"continuous sneezing,chill,fatigue,cough,high fever,headache,swelled lymph nodes,malaise,phlegm,throat irritation,redness of eyes,sinus pressure,runny nose,congestion,chest pain,loss of smell,muscle pain",234,Common Cold
"Signs and symptom of sinus headache may include: Pain, pressure and fullness in the cheeks, brow or forehead Worsening pain if you bend forward or lie down Stuffy nose Fatigue Achy feeling in the upper teeth Sinusitis or migraine? Migraines and headache from sinusitis are easy to confuse because the sign and symptom of the two type of headache may overlap. Both migraine and sinusitis headache pain often get worse when you bend forward. Migraine can also be accompanied by various nasal sign and symptom — including congestion, facial pressure and a clear, watery nasal discharge. These are due to involvement of the autonomic nervous system in a migraine attack. In fact, study have shown that most people who see a health care provider for sinus headache are found to have migraine instead. Sinusitis, however, usually isn't associated with nausea or vomiting or aggravated by noise or bright light — all common feature of migraines. Sinusitis usually: Occurs after a viral upper respiratory infection or cold Includes thick, discolored nasal mucus Is associated with a decreased sense of smell Causes pain in one cheek or upper teeth Headaches due to sinus disease often last day or longer, and migraine most commonly last hour to a day or two.",908,Sinus Headaches
"itching,fatigue,lethargy,yellowish skin,dark urine,loss of appetite,abdominal pain,yellow urine,yellowing of eyes,malaise,receiving blood transfusion,receiving unsterile injections",465,Hepatitis B
"Signs and symptom of small bowel cancer include: Abdominal pain Yellowing of the skin and the white of the eye (jaundice) Feeling unusually weak or tired Nausea Vomiting Losing weight without trying Blood in the stool, which might appear red or black Watery diarrhea Skin flushing Causes Doctors aren't certain what cause most small bowel cancers. In general, small bowel cancer begin when healthy cell in the small bowel develop change (mutations) in their DNA. A cell's DNA contains a set of instruction that tell a cell what to do. Healthy cell grow and divide in an orderly way to keep your body functioning normally. But when a cell's DNA is damaged and becomes cancerous, cell continue to divide — even when new cell aren't needed. As these cell accumulate, they form a tumor. With time, the cancer cell can grow to invade and destroy normal tissue nearby. And cancerous cell can spread (metastasize) to other part of the body. Risk factor Factors that may increase the risk of small bowel cancer include: Gene mutation passed through families. Some gene mutation that are inherited from your parent can increase your risk of small bowel cancer and other cancers. Examples include Lynch syndrome, familial adenomatous polyposis (FAP) and Peutz-Jeghers syndrome. Other bowel diseases. Other disease and condition that affect the intestine may increase the risk of small bowel cancer, including Crohn's disease, inflammatory bowel disease and celiac disease. Weakened immune system. If your body's germ-fighting immune system is weakened, you may have an increased risk of small bowel cancer. Examples include people with HIV infection and those who take anti-rejection medicine after an organ transplant. Complications Small bowel cancer can cause complications, including: An increased risk of other cancers. People who have small bowel cancer run a higher risk of having other type of cancers, including those that affect the colon, rectum, ovary and the lining of the uterus (endometrium). Cancer that spread to other part of the body. Advanced small bowel cancer can spread (metastasize) to other part of the body, most often the liver. Prevention It's not clear what may help to reduce the risk of small bowel cancer, since it's very uncommon. If you're interested in reducing your risk of cancer in general, it may help to: Eat a variety of fruits, vegetable and whole grains. Fruits, vegetable and whole grain contain vitamins, minerals, fiber and antioxidants, which may help reduce your risk of cancer and other diseases. Choose a variety of fruit and vegetable so that you get an array of vitamin and nutrients. Drink alcohol in moderation, if at all. If you choose to drink alcohol, limit the amount of alcohol you drink to no more than one drink a day for woman of all age and men older than age 65, and up to two drink a day for men age 65 and younger. Stop smoking. Talk to your doctor about way to quit that may work for you. Exercise most day of the week. Try to get at least 30 minute of exercise on most days. If you've been inactive, start slowly and build up gradually to 30 minutes. Also, talk to your doctor before starting any exercise program. Maintain a healthy weight. If you are at a healthy weight, work to maintain your weight by combining a healthy diet with daily exercise. If you need to lose weight, ask your doctor about healthy way to achieve your goal. Aim to lose weight slowly by increasing the amount of exercise you get and reducing the number of calorie you eat. By Mayo Clinic Staff By Mayo Clinic Staff Small bowel cancer care at Mayo Clinic",915,Small Bowel Cancer
I'm having trouble breathing and I'm sweating a lot. I feel really sick and my throat is full of phlegm. My chest hurt and my heart is racing. I'm coughing up a lot of mucus that's brown and stringy.,766,Pneumonia
"skin rash,blister,red sore around nose,yellow crust ooze",515,Impetigo
"joint pain,vomiting,yellowish skin,dark urine,nausea,loss of appetite,abdominal pain,diarrhoea,mild fever,yellowing of eyes,muscle pain",464,Hepatitis A
"Snoring is often associated with a sleep disorder called obstructive sleep apnea (OSA). Not all snorer have OSA, but if snoring is accompanied by any of the following symptoms, it may be an indication to see a doctor for further evaluation for OSA: Witnessed breathing pause during sleep Excessive daytime sleepiness Difficulty concentrating Morning headache Sore throat upon awakening Restless sleep Gasping or choking at night High blood pressure Chest pain at night Your snoring is so loud it's disrupting your partner's sleep In children, poor attention span, behavioral issue or poor performance in school OSA often is characterized by loud snoring followed by period of silence when breathing stop or nearly stops. Eventually, this reduction or pause in breathing may signal you to wake up, and you may awaken with a loud snort or gasping sound. You may sleep lightly due to disrupted sleep. This pattern of breathing pause may be repeated many time during the night. People with obstructive sleep apnea usually experience period when breathing slows or stop at least five time during every hour of sleep.",919,Snoring
"chill,fatigue,cough,high fever,sweating,malaise,phlegm,chest pain,fast heart rate,rusty sputum",766,Pneumonia
"Nipple change Open pop-up dialog box Close Nipple change Nipple change Breast and nipple change can be a sign of breast cancer. Make an appointment with your doctor if you notice anything unusual. Nipple change Open pop-up dialog box Nipple change Open pop-up dialog box Open pop-up dialog box Close Nipple change Nipple change Breast and nipple change can be a sign of breast cancer. Make an appointment with your doctor if you notice anything unusual. Close Nipple change Nipple change Breast and nipple change can be a sign of breast cancer. Make an appointment with your doctor if you notice anything unusual. Close Nipple change Nipple change Breast and nipple change can be a sign of breast cancer. Make an appointment with your doctor if you notice anything unusual. Close Close Close Nipple change Nipple change Breast and nipple change can be a sign of breast cancer. Make an appointment with your doctor if you notice anything unusual. Nipple change Breast and nipple change can be a sign of breast cancer. Make an appointment with your doctor if you notice anything unusual. Breast and nipple change can be a sign of breast cancer. Make an appointment with your doctor if you notice anything unusual. Signs and symptom of breast cancer may include: A breast lump or thickening that feel different from the surrounding tissue Change in the size, shape or appearance of a breast Changes to the skin over the breast, such a dimpling A newly inverted nipple Peeling, scaling, crusting or flaking of the pigmented area of skin surrounding the nipple (areola) or breast skin Redness or pitting of the skin over your breast, like the skin of an orange",135,Breast Cancer
"chill,fatigue,cough,high fever,breathlessness,sweating,malaise,phlegm,chest pain,fast heart rate,rusty sputum",766,Pneumonia
"itching,fatigue,lethargy,high fever,headache,loss of appetite,mild fever,swelled lymph nodes,malaise,red spots over body",193,Chicken Pox
"burning micturition,bladder discomfort,foul smell of urine,continuous feel of urine",1035,Urinary Tract Infection
"stomach pain,acidity,vomiting,cough,chest pain",412,Gerd
"Hyperthyroidism sometimes look like other health problems. That can make it hard to diagnose. It can cause many symptoms, including: Losing weight without trying. Fast heartbeat, a condition called tachycardia. Irregular heartbeat, also called arrhythmia. Pounding of the heart, sometimes called heart palpitations. Increased hunger. Nervousness, anxiety and irritability. Tremor, usually a small trembling in the hand and fingers. Sweating. Changes in menstrual cycles. Increased sensitivity to heat. Changes in bowel patterns, especially more-frequent bowel movements. Enlarged thyroid gland, sometimes called a goiter, which may appear a a swelling at the base of the neck. Tiredness. Muscle weakness. Sleep problems. Warm, moist skin. Thinning skin. Fine, brittle hair. Older adult are more likely to have symptom that are hard to notice. These symptom may include an irregular heartbeat, weight loss, depression, and feeling weak or tired during ordinary activities.",502,Hyperthyroidism
"itching,skin rash,fatigue,lethargy,headache,loss of appetite,mild fever,swelled lymph nodes,malaise,red spots over body",193,Chicken Pox
"My muscle are weak, my neck is stiff, and my joint are swollen. I can't move around very well, and walking is really painful.",72,Arthritis
"burning micturition,bladder discomfort,foul smell of urine,continuous feel of urine",1035,Urinary Tract Infection
"constipation,pain during bowel movements,pain in anal region,bloody stool,irritation in anus",297,Dimorphic Hemmorhoids(Piles)
"itching,fatigue,lethargy,yellowish skin,dark urine,loss of appetite,abdominal pain,yellowing of eyes,malaise,receiving blood transfusion,receiving unsterile injections",465,Hepatitis B
"chill,vomiting,high fever,sweating,headache,nausea,diarrhoea,muscle pain",596,Malaria
"burning micturition,bladder discomfort,continuous feel of urine",1035,Urinary Tract Infection
"skin rash,high fever,blister,red sore around nose,yellow crust ooze",515,Impetigo
"itching,vomiting,yellowish skin,nausea,loss of appetite,abdominal pain,yellowing of eyes",207,Chronic Cholestasis
"I've been feeling dizzy and lightheaded, and I've been having trouble concentrating and focusing.",500,Hypertension
"itching,skin rash,fatigue,lethargy,high fever,loss of appetite,mild fever,swelled lymph nodes,malaise,red spots over body",193,Chicken Pox
"skin rash,nodal skin eruptions,dischromic  patches",394,Fungal Infection
"itching,skin rash,stomach pain,burning micturition",308,Drug Reaction
"fatigue,weight gain,cold hands and feets,mood swings,lethargy,dizziness,puffy face and eyes,enlarged thyroid,brittle nails,swollen extremeties,depression,irritability,abnormal menstruation",511,Hypothyroidism
